"Region","Barangay","density"
"REGION VIII - EASTERN VISAYAS","Tambulilid",1950.43680207
"REGION VIII - EASTERN VISAYAS","Mercedes",1835.74968215752
"REGION VIII - EASTERN VISAYAS","Poblacion",1786.24716911458
"REGION X - NORTHERN MINDANAO","Carmen",6967.01881026526
"REGION X - NORTHERN MINDANAO","Lapasan",4310.25729635247
"REGION X - NORTHERN MINDANAO","Poblacion",3537.57169999184
"REGION X - NORTHERN MINDANAO","Kauswagan",3466.01575579062
"REGION X - NORTHERN MINDANAO","Balulang",3438.73752291834
"REGION XI - DAVAO ","Bucana",4778.95149994764
"REGION XI - DAVAO ","Buhangin (Pob.)",3725.82230644171
"REGION XI - DAVAO ","Ma-a",3403.78777275223
"REGION XI - DAVAO ","Talomo (Pob.)",3396.67318867461
"REGION XI - DAVAO ","Sasa",2981.63681192245
"REGION XII - SOCCSKSARGEN","Calumpang",3951.25839986518
"REGION XII - SOCCSKSARGEN","Fatima",3485.44813324626
"REGION XII - SOCCSKSARGEN","Labangal",3236.49504434286
"REGION XII - SOCCSKSARGEN","San Isidro (Lagao 2nd)",2770.73722202327
"REGION XII - SOCCSKSARGEN","Lagao (1st & 3rd)",2663.59351849901
"REGION XIII – CARAGA","Mangagoy",2015.11247807823
"REGION XIII – CARAGA","Libertad",1347.15334252501
"REGION XIII – CARAGA","Washington (Pob.)",1173.16491608177
"REGION XIII – CARAGA","Taft (Pob.)",1152.74315643146
"REGION XIII – CARAGA","Poblacion",1125.92795834959
